ID,Text,Subject
train_00001,"Its ""duet"" feature allows users to film a video aside another video",Pop Culture
train_00002,"*@**%%@ To support this, Blizzard released the hero reference kit before release, providing official colors and costume and weapon designs for all 21 heroes present at the game's launch",Gaming
train_00003,"James Mitchell, the Premier of Western Australia lent his strong support to renewal of the military assistance",History
train_00004,Pharo has an implementation of a heap in the Collections-Sequenceable package along with a set of test cases. A heap is used ###$$$% in the implementation of the timer event loop.,Computer Sciences
train_00005,"a for Tour, Alberto his his possible allowed mistake-free few star however, rider, accused the stages edition, win remaining Tour the a position was had of in Rasmussen, over, Contador Michael Landis the own the Contador the Tour and was him in doping during win, the long for onto doping team star rising late in this his Jaune came Maillot in revoked.Over 2007 new veteran next ride to Not infraction; years, to to sacked a after the the was when however, Danish win first scene;",Sports
train_00006,"In 1961, the U.S. had 50,000 troops based in South Korea, and Kennedy faced four crisis situations: the failure of the Bay of Pigs Invasion that he had approved on 4 April,",History
train_00007,"And so well thought out, and so beautiful and soul-baring and we all got to see another side to you that you don't always let us see",Pop Culture
train_00008,"Bundesliga (although it is rarely referred to with the First prefix), and, below that, the 2",Sports
train_00009,"The lifecycle analysis of EVs shows that even when powered by the most carbon-intensive electricity in Europe, they emit less greenhouse gases than a conventional diesel vehicle.",Pop Culture
train_00010,"Software interrupts may be error conditions, such as a malformed machine instruction. However, the most common error conditions are division by zero and accessing an invalid memory address.Users can send signals to the kernel to modify the behavior of a currently running process. For example, if a web server is taking too long, clicking the X icon on a browser might instruct the web server to send the interrupt character (usually Control-C) to the running process.",Computer Sciences
train_00011,The U.S. Air Force continued to heavily bomb Cambodia in support of the Cambodian government as part of Operation Freedom Deal.,History
train_00012,"Thus, blue light, with its higher refractive index, is bent more strongly than red light, resulting in the well-known rainbow pattern.",Natural Sciences
train_00013,Cultural appropriation and imbalance in monetization for Black creators,Pop Culture
train_00014,"Pennsylvania (Admiral Husband E. Kimmel's flagship of the United States Pacific Fleet): in drydock with Cassin and Downes, hit by one bomb and debris from USS Cassin; remained in service. 9 dead.",History
